,word,importance
445,boyfriend,0.4931859952739135
446,boys,1.2863928872784902
447,br,0.6143727992011621
448,bra,0.5343644027552764
449,bracelet,0.08967564390710031
450,braces,-0.11246502697150317
451,braid,-0.02705344702172027
452,braided,-0.0982549355199373
453,braiding,0.0943269826147403
454,braids,0.7808930843626753
455,brand,-0.1869019413873503
456,brands,1.414562313375989
457,brassy,0.05352164330028722
458,braun,0.3347139741130148
459,break,-1.4177224866754614
460,breakage,1.3368192414350428
461,breaker,-0.06732596537663023
462,breaking,-0.770936164278021
463,breakout,-0.1327389060509087
464,breakouts,1.0339678398543468
465,breaks,-2.3897391710723164
466,breast,0.11429175522125506
467,breath,-0.26352576317678983
468,breathable,0.238841808774759
469,breathe,0.009577635728228936
470,breathing,-0.4189741268217299
471,breeze,1.0105849302332577
472,bridal,0.0333085902677774
473,bride,0.4861553166312614
474,bridesmaids,0.07399887339028358
475,bright,0.3921591730204488
476,brighten,1.4320021162016645
477,brightening,0.2603437868495781
478,brightens,1.030437946303128
479,brighter,0.8990244383959372
480,brilliant,1.4048780416313023
481,brillo,0.6700357156710337
482,bring,0.4260154889186167
483,bringing,0.10396718032957836
484,brings,1.7026912092911772
485,bristle,-0.9049366726413892
486,bristles,-2.316832176444895
487,brittle,-1.1198068167069894
488,broke,-5.571710965086861
489,broken,-3.5406302653483386
490,bronze,-0.3032996086981764
491,bronzer,-0.6748228535461164
492,bronzers,-0.4094718637451517
493,brother,1.2566342405045439
494,brought,-0.007126477683882952
495,brow,0.927279496270396
496,brown,-0.8625483404108151
497,brows,1.6277695111687147
498,bruise,0.5981251116718679
499,bruises,0.55432648465328
500,bruising,0.04982610286318542
501,brunette,0.07397606974504922
502,brush,-0.1447435362898691
503,brushbr,-0.29353479062334953
504,brushed,0.8822906313830992
505,brushes,0.33429180590553
506,brushing,0.575750156730721
507,btw,0.37349423087042094
508,bubble,-0.21057821677730318
509,bubbles,-0.9081981335457878
510,buck,0.5470455998348541
511,bucks,-1.0417622281179668
512,budge,0.82544772384206
513,budget,1.1814404064902968
514,buen,3.779681850146195
515,buena,2.972168665901182
516,buenas,1.0106158111029435
517,bueno,1.9254897356638
518,buff,0.8577494214941248
519,bug,-0.16283784418973032
520,bugs,0.016282816234971752
521,build,0.550571297065834
522,buildable,0.9780015382968483
523,builder,-0.037427108092669435
524,building,0.05180047096584213
525,builds,-0.6809591071352744
526,buildup,0.6944895362484101
527,built,1.2886752398550656
528,bulb,-0.43128640874724006
529,bulk,0.9474515938085817
530,bulky,-1.174177764516633
531,bummed,-2.3232151971357315
532,bummer,-3.1310782643473942
533,bump,0.6760427256924654
534,bumps,-0.1975038185833561
535,bumpy,-0.20634440888340155
536,bun,-0.33258197674265855
537,bunch,0.2941151853982591
538,bundle,0.11350664371695572
539,bundles,-0.027594863854840154
540,buns,0.3719275479627521
541,burgundy,-0.5445065902111654
542,burn,-1.152706084534921
543,burned,-3.73709784967601
544,burning,-1.8249292198013773
545,burns,-2.9401620976309046
546,burnt,-1.5573366196995244
547,business,1.0458444980224229
548,busted,-1.7247251536136758
549,busy,-0.0742359559445506
550,butt,-0.10846363215426671
551,butter,-0.20760213211552542
552,butterfly,0.47624679733692077
553,butters,0.1289108571513089
554,button,-0.6738756739254207
555,buttons,-1.5103790024848964
556,buy,0.04436977994934373
557,buyer,-1.9408781820641878
558,buyers,-0.30299025665555956
559,buying,0.31385994525322025
560,ca,-0.32035351401760565
561,cabello,0.8276799002466118
562,cabinet,0.6119346898987004
563,cake,1.080620894842599
564,caked,-1.228099579858767
565,cakey,-1.1756344382785422
